id;type;criterion_type;document_name;description;tender_category;active_yn
1;Security;Cambridgeshire Programmable primary;99325;Industrial;Expanded rich;true
2;sky Towels;boliviano;89837;Berkshire Cotton;experiences Games open;true
3;Salad;generate Chicken;20711;Metal firmware;Inverse;true
4;connect Card Executive;standardization;28879;Front-line;contextually-based;false
5;Electronics Assurance e-business;Vision-oriented analyzer;62832;architectures Soft SSL;Dollar feed navigate;true
6;Tuna Optimization;Iceland 24/7 Pre-emptive;46946;invoice Specialist Metal;up Mobility lime;true
7;Danish 24;Computers Soap mindshare;39566;matrix;Granite productize target;false
8;SMS Handcrafted;Object-based Dirham;8364;Money Sports;Reduced;false
9;Savings tan supply-chains;Account Assistant;4440;paradigms Soft Berkshire;Bedfordshire synergize;false
10;transmitting;innovate card matrix;63379;Plastic virtual;Path;false
