id;reason;description;status
1;innovative brand maximize;Fort Car;navigating
2;visionary Avon;Manager drive Mouse;Cotton bandwidth-monitored
3;payment Credit;Eritrea Frozen Turkey;out-of-the-box
4;Iowa Computer solutions;Inverse;Associate navigate
5;Tactics Loan;redundant;compressing Station
6;Gourde dot-com;Division primary;generating mindshare payment
7;1080p Plastic;user-facing Specialist Gorgeous;Account hacking
8;Shoes;implementation;Fantastic Sausages
9;enable;primary Lead;Belgium
10;application;Factors compress Utah;reinvent grow
