id;reason;history_order;status;tender_doc_close_date_original;tender_doc_close_date_revised;tender_receipt_close_date_original;tender_receipt_close_date_revised;tender_query_close_date_original;tender_query_close_date_revised;technical_bid_open_date_original;technical_bid_open_date_revised;financial_bid_open_date_original;financial_bid_open_date_revised;prequal_bid_open_date_original;prequal_bid_open_date_revised;prequal_tender_bid_open_original;prequal_tender_bid_open_revised;pre_bid_meeting_date_original;pre_bid_meeting_date_revised;prequal_validity_period_original;prequal_validity_period_revised;prebid_meeting_address_original;prebid_meeting_address_revised
1;Loan multi-byte Consultant;1387;scale envisioneer pixel;2021-07-21T15:59:22;2021-07-22T00:25:16;2021-07-22T10:38:42;2021-07-22T09:14:00;2021-07-21T15:16:04;2021-07-21T20:31:40;2021-07-22T07:42:43;2021-07-21T13:03:38;2021-07-22T06:45:10;2021-07-21T17:06:43;2021-07-21T18:50:32;2021-07-22T08:34:13;2021-07-21T13:48:40;2021-07-21T16:33:28;2021-07-22T09:52:58;2021-07-22T05:41:44;2021-07-21T17:23:20;2021-07-21T12:47:55;8225;59683
2;Account Escudo eco-centric;43652;out-of-the-box National lime;2021-07-21T19:53:13;2021-07-21T12:28:25;2021-07-22T01:22:08;2021-07-21T13:42:10;2021-07-22T03:41:25;2021-07-22T08:06:49;2021-07-21T23:47:59;2021-07-21T23:18:14;2021-07-22T06:59:37;2021-07-21T20:36:49;2021-07-22T10:46:36;2021-07-22T06:39:27;2021-07-22T06:24:25;2021-07-22T00:05:48;2021-07-21T23:33:51;2021-07-21T12:46:15;2021-07-21T18:43:54;2021-07-22T05:08:19;27394;77474
3;Frozen back Solutions;93385;bandwidth-monitored Plastic;2021-07-21T12:08:46;2021-07-22T08:13:06;2021-07-22T01:25:01;2021-07-22T10:57:28;2021-07-22T06:15:21;2021-07-22T09:50:49;2021-07-22T07:48:11;2021-07-21T14:31:40;2021-07-22T09:02:05;2021-07-22T07:37:47;2021-07-22T05:30:14;2021-07-22T11:00:04;2021-07-22T05:02:58;2021-07-22T08:44:59;2021-07-22T01:32:42;2021-07-22T08:23:30;2021-07-22T09:16:59;2021-07-21T15:02:38;35770;76387
4;Facilitator;51929;Michigan Outlying;2021-07-21T15:19:46;2021-07-21T15:56:21;2021-07-22T02:51:11;2021-07-22T02:07:36;2021-07-22T08:20:02;2021-07-21T21:53:24;2021-07-22T10:47:05;2021-07-22T01:17:30;2021-07-22T00:50:50;2021-07-22T04:52:26;2021-07-22T01:09:43;2021-07-21T17:04:19;2021-07-22T06:24:32;2021-07-22T10:21:28;2021-07-21T21:49:18;2021-07-22T07:23:54;2021-07-22T11:11:47;2021-07-21T17:58:01;27424;39931
5;Wall;29566;capacity benchmark Consultant;2021-07-21T14:46:58;2021-07-22T06:35:59;2021-07-22T09:44:28;2021-07-21T20:43:53;2021-07-21T23:18:52;2021-07-22T03:07:54;2021-07-22T04:22:09;2021-07-21T20:19:37;2021-07-21T14:57:46;2021-07-22T03:29:08;2021-07-21T18:16:19;2021-07-21T21:38:12;2021-07-21T19:33:29;2021-07-22T01:30:19;2021-07-21T21:03:14;2021-07-21T18:52:25;2021-07-21T17:54:18;2021-07-22T05:27:29;704;49314
6;white Cotton hybrid;6553;Lights;2021-07-21T12:58:35;2021-07-22T11:10:38;2021-07-21T23:43:22;2021-07-21T18:04:40;2021-07-21T16:32:34;2021-07-21T15:58:49;2021-07-22T02:06:59;2021-07-22T08:10:43;2021-07-22T06:31:04;2021-07-21T21:48:37;2021-07-21T18:13:06;2021-07-21T13:55:20;2021-07-21T18:03:03;2021-07-21T21:26:21;2021-07-22T09:39:00;2021-07-21T23:44:15;2021-07-21T17:01:39;2021-07-22T05:46:59;436;61996
7;withdrawal functionalities;74140;24/7 bandwidth;2021-07-22T08:39:22;2021-07-21T11:58:45;2021-07-22T05:23:58;2021-07-22T10:41:37;2021-07-22T11:28:17;2021-07-22T02:28:01;2021-07-22T09:20:15;2021-07-22T05:34:35;2021-07-22T03:39:27;2021-07-21T12:18:40;2021-07-22T02:07:57;2021-07-21T12:28:05;2021-07-22T06:43:33;2021-07-22T00:13:11;2021-07-22T05:24:54;2021-07-21T12:47:53;2021-07-21T14:55:48;2021-07-21T22:17:55;40257;73579
8;Loan;97989;programming PNG;2021-07-21T14:36:12;2021-07-21T21:43:37;2021-07-22T08:15:31;2021-07-22T03:14:40;2021-07-22T05:12:27;2021-07-21T12:00:39;2021-07-22T09:43:32;2021-07-21T18:45:20;2021-07-21T20:22:26;2021-07-21T15:15:45;2021-07-22T01:16:49;2021-07-22T02:30:59;2021-07-22T10:49:24;2021-07-22T00:42:26;2021-07-22T02:34:14;2021-07-21T15:57:47;2021-07-22T04:33:48;2021-07-22T01:34:49;68321;85877
9;redundant Texas;23424;internet invoice embrace;2021-07-22T09:19:15;2021-07-21T22:35:02;2021-07-21T12:58:48;2021-07-21T23:01:33;2021-07-22T01:15:05;2021-07-21T15:10:16;2021-07-21T20:06:22;2021-07-21T15:15:25;2021-07-22T02:13:54;2021-07-21T19:29:53;2021-07-21T14:07:47;2021-07-22T05:01:07;2021-07-21T22:26:38;2021-07-21T16:07:53;2021-07-22T04:56:03;2021-07-21T21:24:17;2021-07-21T15:28:21;2021-07-21T21:14:08;2169;61032
10;Rustic silver;95648;payment 24/7 Trace;2021-07-21T12:30:20;2021-07-21T14:50:10;2021-07-21T20:36:52;2021-07-22T05:22:13;2021-07-22T04:10:05;2021-07-21T22:34:52;2021-07-21T16:58:45;2021-07-22T10:33:24;2021-07-21T12:07:06;2021-07-21T16:43:25;2021-07-21T22:40:15;2021-07-21T15:38:31;2021-07-22T02:51:31;2021-07-22T08:45:11;2021-07-21T12:24:46;2021-07-21T13:00:25;2021-07-22T10:21:25;2021-07-22T00:54:11;10320;16871
