id;criterion_master_id;criterion_type;criterion_category;criterion_type_others_value;description;weight
1;1930;multi-byte Savings CSS;primary dynamic Michigan;Radial Hat Barbados;Michigan digital;35708
2;10645;Fresh deposit deliverables;Handmade Planner;lavender clear-thinking compelling;alarm;59434
3;45862;Shoes experiences;empower;salmon firewall;disintermediate Fish Virginia;10948
4;37162;supply-chains;Buckinghamshire parsing world-class;withdrawal;Beauty RSS;41404
5;74119;Track;indexing Awesome;Incredible;Thailand;32179
6;96218;Plastic;Web quantify up;override deposit;Ball;31746
7;40846;user-facing Ameliorated Frozen;Assistant Avon portals;Infrastructure generating;enhance vortals Account;98888
8;57534;overriding improvement;Gibraltar Refined Botswana;Romania;hard knowledge Pataca;52076
9;71879;Shoes transmitter Shoes;Metal solutions Latvia;Tools;Vanuatu FTP;41255
10;58118;Taiwan;THX Fresh;mission-critical;indigo;93730
