id;item_code;item_name;indent_item_id;entry_order;net_amt;price;quantity;specifications;uom_id;uom_name;sample_required_yn
1;User-centric Fresh actuating;SMS TCP;36163;15087;65015;87855;89205;Sports copying 1080p;28496;Diverse;true
2;Principal withdrawal Montana;cultivate SQL Table;29684;16192;72402;62896;8974;Dollar;92903;Investment Associate;true
3;Crescent Awesome Bedfordshire;Officer Quality Reverse-engineered;59911;41812;29538;74936;38296;sensor;13961;modular;true
4;invoice Turkish;utilize Identity Shirt;10384;48892;72191;48773;27382;optical Central;92963;silver;false
5;Paradigm;ADP;41061;34134;80638;28997;88592;hacking Kentucky;80449;microchip;false
6;Metal;hacking invoice;52017;11532;58450;56909;59738;Dale;52515;Omani cross-platform;true
7;Account internet;primary virtual Future;50806;39297;83512;68642;74901;withdrawal;12064;models deliverables Arizona;false
8;Expanded Principal;Technician USB;71468;78843;26770;17905;702;Auto;98505;indexing Lari;false
9;Manager;Account;41863;68235;58618;10018;18818;calculate Awesome Car;98575;dot-com Industrial;true
10;Nevada;productize multimedia;22440;81761;77272;51310;15314;wireless;41377;sticky;true
