id;supplier_general_info_id;serial_no;reference_document;doc_section_name;doc_page_no;tender_query_text
1;84202;65305;EXE Visionary quantifying;Dollar redundant B2C;96784;../fake-data/blob/hipster.txt
2;71597;90680;Planner matrix;Loan quantify;46558;../fake-data/blob/hipster.txt
3;80637;48874;Analyst Account Team-oriented;toolset;58901;../fake-data/blob/hipster.txt
4;12001;12715;transmit Functionality Factors;Shoes Generic attitude-oriented;50225;../fake-data/blob/hipster.txt
5;51928;59861;Designer COM Regional;array XML Pizza;16259;../fake-data/blob/hipster.txt
6;3274;80101;interfaces bluetooth foreground;Gorgeous;37452;../fake-data/blob/hipster.txt
7;32620;49031;Paradigm magenta;hacking firewall Savings;94805;../fake-data/blob/hipster.txt
8;77471;94408;Garden Louisiana;Bedfordshire Intelligent Harbor;20005;../fake-data/blob/hipster.txt
9;17648;65178;York;Representative back-end;23226;../fake-data/blob/hipster.txt
10;29200;88352;Clothing Buckinghamshire synthesizing;Cotton Terrace Tuna;57939;../fake-data/blob/hipster.txt
