id;tender_number;title;description;category;ecv;indent_id;dept_id;status;remarks;parent_tender_ref;no_of_calls;process_id;csr_value;ecvtendery_yn;certificate_id;payments_verified;dts_approval_date;mandatory_clause;location;delegate_to;is_approved_by_self;cat_work_category_name;negotiation_status;manual_tender_yn;district_id;draft_publish_status;csr_remarks;proc_entity_type;dts_approved_by
1;Principal navigating;synthesize Specialist;Chips Implementation haptic;32208;71658;87298;5969;Hawaii transmitting neura;Sudan content Car;41312;34022;66859;22173;true;30828;18456;2021-07-22T04:53:40;HTTP;63851;83335;21792;exploit grey;migration;false;45057;Handcrafted RSS;Barbados Books quantify;6196;Front-line harness
2;technologies generate Shirt;Indiana Shirt;content;43714;45126;25760;84823;Small;vortals District Cambridgeshire;35207;27248;46889;92739;false;24599;47281;2021-07-22T11:06:44;SDR architect;12668;2278;14536;Infrastructure SSL Saint;magenta Automotive;true;14025;Manager initiative;open-source ivory;93993;connect Movies
3;tan;systems;enterprise Human parsing;30434;93755;91843;54775;circuit maroon;Manat;49449;22211;27546;28147;true;2055;388;2021-07-22T10:45:13;Enterprise-wide Mews leading-edge;55220;16930;27190;Direct Loan;Fish JSON;false;37292;Granite;neural;21949;Romania
4;Riel;Chair;Progressive uniform cross-platform;12752;7321;11875;43364;Steel clicks-and-mortar r;Expanded Buckinghamshire intuitive;27087;13493;13390;20420;true;87993;41941;2021-07-21T18:17:04;Avon;75242;25500;5950;THX;instruction Benin;false;48241;Checking;cross-platform sky;69523;bi-directional Stravenue
5;dynamic Optimization;Mills Brunei;Fuerte;9428;938;18546;28094;Digitized;extensible Cheese Handmade;60515;99774;40860;65222;true;91894;92617;2021-07-21T14:15:06;Jamahiriya Brazilian;81851;60783;57566;customized;convergence Brand optical;false;69461;North;Mouse;81432;asymmetric
6;interface quantifying;Cotton cyan Hat;multi-byte;35635;96286;2841;78530;Unbranded Synergized;communities orchestrate engage;16751;25406;2213;23668;false;91;41043;2021-07-22T07:52:04;Functionality partnerships application;77497;22802;59272;Keyboard Licensed;Open-source;true;60989;Oklahoma Metrics Compatible;plum Specialist;80786;Licensed olive Armenia
7;overriding Health;Rustic grow;compressing Polarised;13543;87149;31079;74275;wireless Developer;HTTP;33479;3436;57686;38465;false;12138;47642;2021-07-22T01:45:04;Money functionalities calculating;72880;28469;74679;bandwidth;Awesome e-tailers;false;5112;Andorra gold;Louisiana;17750;violet Gorgeous virtual
8;salmon strategize exuding;Passage;Future;40628;49908;78875;3833;Borders Ergonomic reboot;solid;63182;20137;27669;81538;true;58777;43628;2021-07-22T07:49:39;Chicken Wooden;73424;92803;41501;Movies programming Italy;programming Yemen Virtual;true;48537;Bedfordshire protocol Pizza;Intelligent Personal;28948;client-server
9;Unbranded;Montserrat;plum up Sports;52089;28398;38149;93730;paradigms Futuna strategi;Avon Birr Horizontal;41695;10894;94275;66587;true;89606;94506;2021-07-21T22:42:23;Cross-platform transmitter Fish;71496;61504;85807;Berkshire Track optical;encoding eyeballs;false;60278;Hat Refined Communications;transform Cambridgeshire;36672;harness Architect
10;Cotton bluetooth;partnerships;envisioneer archive;98725;32388;27776;22111;Industrial Granite;Orchestrator Gorgeous alarm;20205;22641;26616;84380;true;6168;44380;2021-07-22T03:34:43;Money navigating monitor;63961;38412;30069;dedicated maroon;River Ferry open-source;true;69305;Hong database;orchid e-services;2653;Handmade override neural
