id;tender_criterion_id;name;description;min_value;max_value;operator;data_type;optional_yn
1;26713;Ecuador Frozen Congo;Automotive;87026;47424;GB transitional;Greenland Minnesota Chicken;true
2;25105;Computers;Planner Rupee;20582;28387;next-generation multi-byte Plastic;Account Corporate;false
3;17237;maroon Regional Baby;generate Handcrafted Station;42790;45792;bandwidth-monitored Salad Hawaii;auxiliary;false
4;73148;redundant;Berkshire Representative grid-enabled;28640;27977;Home auxiliary intangible;invoice payment Networked;true
5;33623;indexing Books;frame;1365;85032;bypassing;redundant;true
6;24911;Triple-buffered Gibraltar Bedfordshire;Rubber Response Intelligent;96939;39144;context-sensitive Toys;quantifying defect 5th;false
7;29180;24/365 innovate;Associate Fish District;92846;12347;Buckinghamshire;Loti Cambridgeshire;true
8;86683;Re-engineered Account drive;Danish Account;30220;86053;array Toys clicks-and-mortar;Movies;false
9;74929;non-volatile Bosnia Designer;enhance Fish customized;12793;10714;Implementation bypassing;black;true
10;37369;Small Games;functionalities orange;57237;17516;generate Investment Fall;Architect haptic;false
